headline,date,doc_type,author,section,url,news_desk,material_type,word_count,keywords
Metro Briefing | New York: Manhattan: Help For Asian Voters,2001-09-25,article,[],,https://www.nytimes.com/2001/09/25/nyregion/metro-briefing-new-york-manhattan-help-for-asian-voters.html,Metropolitan Desk,News,103.0,"[('glocations', 'New York City'), ('organizations', 'Asian Americans for Equality'), ('subject', 'VOTING REQUIREMENTS AND VOTERS'), ('subject', 'Chinese-Americans'), ('subject', 'Elections'), ('subject', 'Asian-Americans'), ('subject', 'PRIMARIES')]"
Professors at the Color Line,2001-09-11,article,"['Richard Chait', 'Cathy Trower']",,https://www.nytimes.com/2001/09/11/opinion/professors-at-the-color-line.html,Editorial Desk,Op-Ed,613.0,"[('subject', 'Affirmative Action'), ('subject', 'Tenure'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Colleges and Universities'), ('subject', 'Hiring and Promotion'), ('subject', 'Women'), ('subject', 'Teachers and School Employees'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans')]"
Candidates' Field Guide: Finding the Real Voters,2001-09-09,article,['Seth Kugel'],,https://www.nytimes.com/2001/09/09/nyregion/neighborhood-report-new-york-elections-candidates-field-guide-finding-real.html,The City Weekly Desk,News,429.0,"[('glocations', 'New York City'), ('subject', 'City Councils'), ('subject', 'MINORITIES (ETHNIC, RACIAL, RELIGIOUS)'), ('subject', 'Elections'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans')]"
Schools Official to Investigate Treatment of Asian Students,2001-08-28,article,['Yilu Zhao'],,https://www.nytimes.com/2001/08/28/nyregion/schools-official-to-investigate-treatment-of-asian-students.html,Metropolitan Desk,News,409.0,"[('glocations', 'New York City'), ('persons', 'WOO, RONALD'), ('persons', 'Levy, Harold O'), ('subject', 'Education and Schools'), ('subject', 'Discrimination'), ('subject', 'Asian-Americans')]"
Disparities Seen In Mental Care For Minorities,2001-08-27,article,['Erica Goode'],,https://www.nytimes.com/2001/08/27/us/disparities-seen-in-mental-care-for-minorities.html,National Desk,News,1250.0,"[('persons', 'Satcher, David'), ('subject', 'Indians, American'), ('subject', 'Minorities (US)'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Discrimination'), ('subject', 'Mental Health and Disorders'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans')]"
National Briefing | West: California: Hotel Company Faces New Bias Suit,2001-08-25,article,['Barbara NYT'],,https://www.nytimes.com/2001/08/25/us/national-briefing-west-california-hotel-company-faces-new-bias-suit.html,National Desk,News,109.0,"[('organizations', 'CLIFT HOTEL'), ('organizations', 'SCHRAGER, IAN, HOTELS INC'), ('organizations', 'ROYAL VALET PARKING COMPANY'), ('subject', 'LABOR'), ('subject', 'Minorities (US)'), ('subject', 'HOTELS AND MOTELS'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Suits and Litigation'), ('subject', 'Discrimination'), ('subject', 'Asian-Americans')]"
New Political Math in the City Raises Power of the Asian Vote,2001-08-25,article,['Somini Sengupta'],,https://www.nytimes.com/2001/08/25/nyregion/new-political-math-in-the-city-raises-power-of-the-asian-vote.html,Metropolitan Desk,News,1158.0,"[('glocations', 'New York City'), ('subject', 'Mayors'), ('subject', 'City Councils'), ('subject', 'Elections'), ('subject', 'Asian-Americans')]"
National Briefing | Southwest: New Mexico: Dr. Lee's Supporters Gain,2001-08-24,article,['Michael NYT'],,https://www.nytimes.com/2001/08/24/us/national-briefing-southwest-new-mexico-dr-lee-s-supporters-gain.html,National Desk,News,132.0,"[('glocations', 'China'), ('glocations', 'United States'), ('organizations', 'Los Alamos National Laboratory'), ('persons', 'Lee, Wen Ho'), ('persons', 'Parker, James A'), ('subject', 'ATOMIC WEAPONS'), ('subject', 'United States International Relations'), ('subject', 'Espionage'), ('subject', 'Sentences (Criminal)'), ('subject', 'Biographical Information'), ('subject', 'Discrimination'), ('subject', 'Chinese-Americans'), ('subject', 'Asian-Americans'), ('subject', 'Computers and the Internet'), ('subject', 'UNITED STATES ARMAMENT AND DEFENSE')]"
Brann Worldwide is acquiring Wong Wong Boyack to add an Asian marketing capability.,2001-08-22,article,['Allison Fass'],,https://www.nytimes.com/2001/08/22/business/media-business-advertising-brann-worldwide-acquiring-wong-wong-boyack-add-asian.html,Business/Financial Desk,News,749.0,"[('organizations', 'BRANN WONG WONG'), ('organizations', 'WONG WONG BOYACK'), ('organizations', 'Brann Worldwide'), ('subject', 'Mergers, Acquisitions and Divestitures'), ('subject', 'ADVERTISING'), ('subject', 'Asian-Americans'), ('creative_works', 'ADVERTISING (TIMES COLUMN)')]"
How 'Us' Dropped Out In U.S. Public Schools,2001-08-08,article,['Anemona Hartocollis'],,https://www.nytimes.com/2001/08/08/nyregion/how-us-dropped-out-in-us-public-schools.html,Metropolitan Desk,News,745.0,"[('subject', 'PUBLIC OPINION'), ('subject', 'Education and Schools'), ('subject', 'Blacks'), ('subject', 'Black People'), ('subject', 'Urban Areas'), ('subject', 'Asian-Americans'), ('subject', 'Hispanic-Americans')]"
